time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,53,29,265,63
2026-07-17 00:00:00+00:00,28,22,324,85
2026-07-18 00:00:00+00:00,26,17,259,37
2026-07-19 00:00:00+00:00,36,21,220,35
2026-07-20 00:00:00+00:00,67,37,379,86
2026-07-21 00:00:00+00:00,53,46,301,67
2026-07-22 00:00:00+00:00,37,23,308,83
2026-07-23 00:00:00+00:00,45,19,312,75
2026-07-24 00:00:00+00:00,37,28,327,71
2026-07-25 00:00:00+00:00,24,16,228,24
2026-07-26 00:00:00+00:00,52,28,362,35
2026-07-27 00:00:00+00:00,44,32,295,76
2026-07-28 00:00:00+00:00,65,32,314,84
2026-07-29 00:00:00+00:00,29,24,266,64
