time_iso8601,stars_cumulative
2026-01-15 00:00:00+00:00,14
2026-01-16 00:00:00+00:00,46
2026-01-17 00:00:00+00:00,98
2026-01-18 00:00:00+00:00,136
2026-01-19 00:00:00+00:00,172
2026-01-20 00:00:00+00:00,183
2026-01-21 00:00:00+00:00,193
2026-01-22 00:00:00+00:00,200
2026-01-23 00:00:00+00:00,210
2026-01-24 00:00:00+00:00,212
2026-01-25 00:00:00+00:00,216
2026-01-26 00:00:00+00:00,218
2026-01-27 00:00:00+00:00,220
2026-01-28 00:00:00+00:00,222
2026-01-29 00:00:00+00:00,223
2026-01-30 00:00:00+00:00,226
2026-01-31 00:00:00+00:00,227
2026-02-01 00:00:00+00:00,228
2026-02-02 00:00:00+00:00,231
2026-02-03 00:00:00+00:00,236
2026-02-04 00:00:00+00:00,244
2026-02-05 00:00:00+00:00,247
2026-02-06 00:00:00+00:00,249
2026-02-07 00:00:00+00:00,251
2026-02-08 00:00:00+00:00,253
2026-02-09 00:00:00+00:00,260
2026-02-10 00:00:00+00:00,277
2026-02-11 00:00:00+00:00,282
2026-02-12 00:00:00+00:00,284
2026-02-13 00:00:00+00:00,292
2026-02-14 00:00:00+00:00,293
2026-02-15 00:00:00+00:00,294
2026-02-16 00:00:00+00:00,297
2026-02-17 00:00:00+00:00,302
2026-02-18 00:00:00+00:00,306
2026-02-19 00:00:00+00:00,307
2026-02-20 00:00:00+00:00,311
2026-02-21 00:00:00+00:00,317
2026-02-22 00:00:00+00:00,321
2026-02-23 00:00:00+00:00,322
2026-02-24 00:00:00+00:00,323
2026-02-25 00:00:00+00:00,325
2026-02-26 00:00:00+00:00,330
2026-02-27 00:00:00+00:00,333
2026-03-01 00:00:00+00:00,334
2026-03-05 00:00:00+00:00,335
2026-03-06 00:00:00+00:00,336
2026-03-07 00:00:00+00:00,337
2026-03-09 00:00:00+00:00,338
2026-03-10 00:00:00+00:00,339
2026-03-12 00:00:00+00:00,340
2026-03-13 00:00:00+00:00,347
2026-03-14 00:00:00+00:00,358
2026-03-15 00:00:00+00:00,360
2026-03-16 00:00:00+00:00,368
2026-03-17 00:00:00+00:00,389
2026-03-18 00:00:00+00:00,394
2026-03-19 00:00:00+00:00,414
2026-03-20 00:00:00+00:00,418
2026-03-21 00:00:00+00:00,426
2026-03-22 00:00:00+00:00,429
2026-03-23 00:00:00+00:00,431
