time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-30 00:00:00+00:00,57,35,347,134
2026-01-31 00:00:00+00:00,12,11,245,72
2026-02-01 00:00:00+00:00,14,13,73,39
2026-02-02 00:00:00+00:00,20,19,284,117
2026-02-03 00:00:00+00:00,21,20,394,153
2026-02-04 00:00:00+00:00,24,24,609,192
2026-02-05 00:00:00+00:00,17,17,400,151
2026-02-06 00:00:00+00:00,18,18,436,141
2026-02-07 00:00:00+00:00,7,7,85,32
2026-02-08 00:00:00+00:00,17,14,152,50
2026-02-09 00:00:00+00:00,11,9,588,224
2026-02-10 00:00:00+00:00,129,65,1135,398
2026-02-11 00:00:00+00:00,55,31,767,222
2026-02-12 00:00:00+00:00,37,31,910,236
2026-02-13 00:00:00+00:00,85,48,520,154
2026-02-14 00:00:00+00:00,93,33,429,76
2026-02-15 00:00:00+00:00,29,20,331,95
2026-02-16 00:00:00+00:00,105,43,395,147
2026-02-17 00:00:00+00:00,84,44,791,187
2026-02-18 00:00:00+00:00,38,29,816,180
2026-02-19 00:00:00+00:00,28,22,573,150
2026-02-20 00:00:00+00:00,61,36,651,178
2026-02-21 00:00:00+00:00,43,25,451,66
2026-02-22 00:00:00+00:00,34,24,548,70
2026-02-23 00:00:00+00:00,57,37,596,116
2026-02-24 00:00:00+00:00,38,26,647,157
2026-02-25 00:00:00+00:00,91,56,931,212
2026-02-26 00:00:00+00:00,131,46,674,136
2026-02-27 00:00:00+00:00,95,35,541,145
2026-02-28 00:00:00+00:00,41,21,335,47
2026-03-01 00:00:00+00:00,41,27,315,49
2026-03-02 00:00:00+00:00,92,52,728,157
2026-03-03 00:00:00+00:00,72,51,570,118
2026-03-04 00:00:00+00:00,148,45,746,134
2026-03-05 00:00:00+00:00,130,66,756,146
2026-03-06 00:00:00+00:00,36,28,515,115
2026-03-07 00:00:00+00:00,184,57,314,43
2026-03-08 00:00:00+00:00,24,18,225,30
2026-03-09 00:00:00+00:00,36,26,487,125
2026-03-10 00:00:00+00:00,141,59,516,125
2026-03-11 00:00:00+00:00,231,76,704,144
2026-03-12 00:00:00+00:00,199,49,729,167
2026-03-13 00:00:00+00:00,34,24,742,252
2026-03-14 00:00:00+00:00,24,19,580,195
2026-03-15 00:00:00+00:00,48,33,465,131
2026-03-16 00:00:00+00:00,74,38,755,251
2026-03-17 00:00:00+00:00,51,39,910,342
2026-03-18 00:00:00+00:00,71,36,762,208
2026-03-19 00:00:00+00:00,115,40,1065,294
2026-03-20 00:00:00+00:00,48,31,923,202
2026-03-21 00:00:00+00:00,172,54,421,95
2026-03-22 00:00:00+00:00,205,42,489,89
2026-03-23 00:00:00+00:00,77,44,758,171
2026-03-24 00:00:00+00:00,105,42,932,199
2026-03-25 00:00:00+00:00,234,64,800,227
2026-03-26 00:00:00+00:00,97,44,893,228
2026-03-27 00:00:00+00:00,77,28,743,221
2026-03-28 00:00:00+00:00,39,29,363,60
2026-03-29 00:00:00+00:00,40,27,340,70
2026-03-30 00:00:00+00:00,237,42,834,191
2026-03-31 00:00:00+00:00,70,30,626,179
2026-04-01 00:00:00+00:00,71,41,674,180
2026-04-02 00:00:00+00:00,30,21,521,129
2026-04-03 00:00:00+00:00,41,28,535,111
2026-04-04 00:00:00+00:00,34,18,194,46
2026-04-05 00:00:00+00:00,58,30,368,50
2026-04-06 00:00:00+00:00,37,24,528,113
2026-04-07 00:00:00+00:00,62,33,693,134
2026-04-08 00:00:00+00:00,55,29,779,167
2026-04-09 00:00:00+00:00,65,29,498,130
2026-04-10 00:00:00+00:00,74,34,633,123
2026-04-11 00:00:00+00:00,24,15,371,61
2026-04-12 00:00:00+00:00,27,15,273,48
2026-04-13 00:00:00+00:00,48,28,606,123
2026-04-14 00:00:00+00:00,212,58,420,111
2026-04-15 00:00:00+00:00,113,45,495,112
2026-04-16 00:00:00+00:00,68,34,596,132
2026-04-17 00:00:00+00:00,101,43,551,132
2026-04-18 00:00:00+00:00,95,34,300,38
2026-04-19 00:00:00+00:00,84,36,338,46
2026-04-20 00:00:00+00:00,112,39,477,119
